external_ref,status,source,ref,date_time,state,cvv_provided,amount,country,currency,CAD_Rate,EUR_Rate,MXN_Rate,USD_Rate,SGD_Rate,AUD_Rate ,GBP_Rate
nCyEIIGaP5QQ2Wqb-_Rt8,TRUE,GLOBALPAY,evt_1ESgcCOV7fY1ChY1MkZizZt,2019-01-01T00:00:00.000Z,DECLINED,FALSE,1020.46,US,USD,1.415,0.926,25.103,1,1.434,1.648,0.813
ptNiI9B7NNpK7VsMZx6zZ,TRUE,GLOBALPAY,evt_1EBMGCEjEtianKMJaZXOx1y,2019-01-01T04:48:00.000Z,ACCEPTED,FALSE,1582.57,US,USD,1.415,0.926,25.103,1,1.434,1.648,0.813
1GS5BDKBnauCt-3nHPs6x,TRUE,GLOBALPAY,evt_1EOALu0AZqEhZBn9ub_nbcE,2019-01-01T09:36:00.000Z,DECLINED,FALSE,1653.07,US,USD,1.415,0.926,25.103,1,1.434,1.648,0.813
Y_oecYz8GjBDaxmMqkkLQ,TRUE,GLOBALPAY,evt_1ESHsWyaSPqE1mrmJ2B6rvs,2019-01-01T14:24:00.000Z,ACCEPTED,FALSE,2228.17,US,USD,1.415,0.926,25.103,1,1.434,1.648,0.813
LlEs1TnKVa2xX6PH9Zsz0,TRUE,GLOBALPAY,evt_1EjzPk13qLzmvDR_4hXuMMw,2019-01-01T19:12:00.000Z,ACCEPTED,FALSE,2589.92,US,USD,1.415,0.926,25.103,1,1.434,1.648,0.813
XMiBCl0zkTGdVu_IgKNbS,TRUE,GLOBALPAY,evt_1ESWbgipcFeU4B6eW5kWMgn,2019-01-01T00:00:00.000Z,ACCEPTED,FALSE,1509.12,MX,MXN,1.415066825,0.92475049,25.09984809,1,1.438665674,1.652293208,0.81766526
unSNmffbtST60mDH0WpUc,TRUE,GLOBALPAY,evt_1Exxzo9M0d271kmuX5kNmRL,2019-01-01T04:48:00.000Z,ACCEPTED,FALSE,1923.13,MX,MXN,1.415066825,0.92475049,25.09984809,1,1.438665674,1.652293208,0.81766526
#NAME?,TRUE,GLOBALPAY,evt_1ERnu8szlZndncFl6bunEBM,2019-01-01T09:36:00.000Z,ACCEPTED,FALSE,1847.42,MX,MXN,1.415066825,0.92475049,25.09984809,1,1.438665674,1.652293208,0.81766526
lTsAIkKdGo7Y009yqBCpd,TRUE,GLOBALPAY,evt_1EOiOA5A29jldBS0TfJ15I-,2019-01-01T14:24:00.000Z,DECLINED,FALSE,2270.79,MX,MXN,1.415066825,0.92475049,25.09984809,1,1.438665674,1.652293208,0.81766526
b8bt9Cxmr1FcWw0_D-Fu0,TRUE,GLOBALPAY,evt_1E30OuikKUAYMIFg92oxAH_,2019-01-01T19:12:00.000Z,ACCEPTED,FALSE,2134.27,MX,MXN,1.415066825,0.92475049,25.09984809,1,1.438665674,1.652293208,0.81766526
d676rW95fMDkNnVSwOHX9,TRUE,GLOBALPAY,evt_1E_OogmiTDXE5VZumnVWkWL,2019-01-01T00:00:00.000Z,ACCEPTED,FALSE,92.02,UK,GBP,1.417351183,0.92257975,25.09812475,1,1.434223265,1.656777771,0.822025232
SPm_aqm_Rrer_6jxpLvO2,TRUE,GLOBALPAY,evt_1EhCNv4mRDFQzT2r2O5Cy5G,2019-01-01T04:48:00.000Z,ACCEPTED,FALSE,-23.78,UK,GBP,1.417351183,0.92257975,25.09812475,1,1.434223265,1.656777771,0.822025232
ZQtj3yHyaTyxlGvhdKt8I,TRUE,GLOBALPAY,evt_1E5UEcb2LL2e4qwmZD6mukK,2019-01-01T09:36:00.000Z,DECLINED,FALSE,459.88,UK,GBP,1.417351183,0.92257975,25.09812475,1,1.434223265,1.656777771,0.822025232
vFGWrb_Wjqhry08-8zfXh,TRUE,GLOBALPAY,evt_1EYhYUXCVb7Wz2NG6DbHlTo,2019-01-01T14:24:00.000Z,ACCEPTED,FALSE,171.55,UK,GBP,1.417351183,0.92257975,25.09812475,1,1.434223265,1.656777771,0.822025232
oSta7fK0P5d4ier1TVVEr,TRUE,GLOBALPAY,evt_1Es4fSnPxpkj-hgFJSSXJEw,2019-01-01T19:12:00.000Z,ACCEPTED,FALSE,683.48,UK,GBP,1.417351183,0.92257975,25.09812475,1,1.434223265,1.656777771,0.822025232
wYgc2mjHCUWJv1efhJFM8,TRUE,GLOBALPAY,evt_1EbIH9c7e094n5bXySYR_xD,2019-01-01T00:00:00.000Z,ACCEPTED,FALSE,1666.21,FR,EUR,1.419001248,0.919301507,25.09893665,1,1.430333363,1.657204736,0.818093219
Efn1-fPP8TIhW4MkxkcRG,TRUE,GLOBALPAY,evt_1ENTQ4Xo_16zZhCQ30Ve1xB,2019-01-01T04:48:00.000Z,ACCEPTED,FALSE,2164.35,FR,EUR,1.419001248,0.919301507,25.09893665,1,1.430333363,1.657204736,0.818093219
